sample	strain	2'FL	3FL	LDFT	6'SL	LNT	LNnT	LNFP I	LNFP II	LNFP III	LSTb	LSTc	DFLNT	LNH	DSLNT	FLNH	DFLNH	FDSLNH	DSLNH
med_1	medium	2605.10031	886.0303704	803.0211007	480.8220778	2042.925941	167.3359981	812.868507	1367.330715	19.31709343	173.9476703	151.8792827	1031.041788	146.7814152	110.4664722	509.4658068	70.29287148	382.1108256	204.6616019
med_2	medium	2608.290257	856.8660209	826.1916545	486.2932983	1994.133671	176.5594409	792.5217038	1342.591299	18.52830795	172.372528	149.4369114	997.269661	147.1728461	108.1365931	511.3607519	76.61309777	374.2432031	201.1341747
med_3	medium	2369.014473	784.8812589	752.5840596	445.1128693	1786.446846	162.6241264	710.4778958	1200.917274	16.49252839	152.1782359	133.1135207	892.6370183	130.4389883	97.88809377	451.62182	68.61179301	340.129392	180.293824
ATCC_1	B. longum subsp. infantis ATCC 15697	609.1832163	64.20394605	457.7966263	100.7140936	17.06796673	17.45986797	4.202696165	4.862298957	6.614789184	53.39753455	1.400603757	2.75258034	1.329779324	49.20280063	10.05128966	4.986851111	8.915933042	4.658580287
ATCC_2	B. longum subsp. infantis ATCC 15697	655.5434063	67.14285996	462.3844322	107.440353	17.89792133	17.89876404	4.019710562	4.833339755	6.314652647	55.87287223	1.608641055	2.547370705	1.436147867	50.06902989	9.790889247	5.100109371	9.224492962	4.449368938
ATCC_3	B. longum subsp. infantis ATCC 15697	640.8275696	69.53253748	516.3460428	116.6620222	14.39576933	22.57193763	4.828755728	5.029716257	8.404712431	46.72395772	1.416273669	3.480021481	0.921791355	70.89345648	9.375186653	5.044270313	9.795655339	4.430385113
2D9_1	B. longum subsp. infantis Bg40721_2D9	1151.86756	43.32053306	485.7138221	134.5059745	20.10082135	19.66179568	4.572267722	5.339535531	15.76957964	73.4014549	2.519520918	2.791040041	0.8259895	115.5203612	10.00267835	7.167023106	10.46982526	5.731342222
2D9_2	B. longum subsp. infantis Bg40721_2D9	949.355057	39.26610805	445.4695777	116.1262189	19.66712581	18.59447981	4.160857284	4.51260189	14.84677188	69.12146767	1.974791298	3.142034196	0.701202956	113.0642945	9.047948743	6.031475291	9.435723655	5.346248361
2D9_3	B. longum subsp. infantis Bg40721_2D9	981.4257332	43.94771536	457.0755755	118.8416172	22.24602569	18.32750736	4.089989251	4.76137348	13.49334535	82.03188488	2.080412338	2.498522039	0.535271481	101.8982851	9.989646189	6.074676245	9.227098316	5.747469291
PS131_1	B. longum subsp. suis Bg131.S11_17.F6	1928.600423	39.5632814	568.1844445	34.51671045	14.93191833	18.19018433	4.132031612	5.095118707	4.194508402	2.499900663	0.655288437	2.802742508	1.441548508	1.737546639	8.535964486	7.450504825	10.61278829	8.286766087
PS131_2	B. longum subsp. suis Bg131.S11_17.F6	1896.345265	40.90927453	566.4541336	29.51813314	15.28841602	18.93602686	4.22800837	5.432007918	4.511048131	2.356933569	0.814590859	3.787392849	1.555227878	1.733320744	8.873295792	7.458021554	9.874768534	8.425894861
PS131_3	B. longum subsp. suis Bg131.S11_17.F6	1859.803486	35.36751299	550.3872169	31.77735437	14.80137342	17.69662845	3.99597642	5.692422351	4.627524086	2.395194373	0.918895884	3.546842535	1.760478	2.032694522	8.883374381	7.637664764	10.43753018	7.275039248
1E1_1	B. catenulatum subsp. kashiwanohense Bg42221_1E1	1075.010558	644.2369801	714.7754668	317.4328949	43.42646547	18.56558731	3.344910239	5.934224387	11.63398899	178.7123553	20.0848142	2.368261535	5.40268721	66.41630742	21.8592669	36.45815995	8.585717058	65.55319195
1E1_2	B. catenulatum subsp. kashiwanohense Bg42221_1E1	987.6518643	600.6390057	723.4864583	311.4989986	38.95287804	16.77688467	2.799321007	5.457814166	11.15505437	167.1372512	11.48628405	1.965074255	4.6002461	66.60469756	19.011594	34.97873305	9.001106598	56.83764105
1E1_3	B. catenulatum subsp. kashiwanohense Bg42221_1E1	1089.442946	675.1649677	802.5903512	348.5615195	41.90038246	19.87418966	3.271251743	4.868117115	12.44393103	184.8768047	14.80186925	1.712351778	5.366584943	73.64170076	21.01087539	37.55778632	8.77465422	65.20885694
3A11_1	B. longum subsp. longum Bg115.S08_3A11	2611.155925	937.4650184	836.3107279	422.1310805	35.67864285	49.88678261	163.1401591	1316.546837	12.22675372	153.1952943	132.1982845	941.1061607	50.46608238	104.7839949	89.65568493	67.26806093	377.8023134	212.404396
3A11_2	B. longum subsp. longum Bg115.S08_3A11	2626.289821	967.0211601	828.638986	432.0680115	33.38452544	50.98012294	173.8172707	1379.59289	15.2830776	161.0508203	139.3962358	967.7141479	43.43839048	112.5669438	90.70598093	65.10612347	396.1061813	224.247917
3A11_3	B. longum subsp. longum Bg115.S08_3A11	2936.77001	1082.218151	924.2333955	486.2722727	36.69994884	59.84435529	177.8949958	1525.184203	15.43258257	175.7491126	149.6891536	1039.399481	53.74101425	123.6133645	97.23956129	86.41034082	416.6512202	243.8996589
Pse_1	B. pseudocatenulatum STL_TW14.1_LFYP29	2823.933899	958.3489692	902.3200988	533.9195017	2163.072857	189.5024356	868.5957214	1482.73592	22.93914815	181.8148714	166.4891291	1113.53504	155.1099906	128.3599799	557.2084406	86.34346036	413.6285497	222.4342901
Pse_2	B. pseudocatenulatum STL_TW14.1_LFYP29	2606.722613	881.7180918	855.6370427	506.9182143	2004.768594	167.646262	800.7192873	1362.953318	20.65521964	148.9957463	156.9221133	1029.123021	141.9594923	142.3495615	497.8202484	82.63640715	385.1338752	207.2410316
Pse_3	B. pseudocatenulatum STL_TW14.1_LFYP29	2768.353998	909.761377	921.3334327	543.44558	2055.295782	177.1361739	823.3444014	1403.886572	20.62962448	152.0058097	151.4730059	1043.829315	147.980485	138.1122414	524.4382547	82.90095697	400.7105695	214.9020514
